Name:,Exosomes in TNBC
Number:,22-21
Full Title:,"Pilot longitudinal study, using nanoparticle tracking analysis, raman spectroscopy, mass spectroscopy and glycosylation analyses to profile exosomes isolated from the sera of women diagnosed with triple negative breast cancer (TNBC)."
--------------------------------------------------
Principal Investigator:,Professor Michaela Higgins
Type:,Collaborative
Sponsor:,University College Dublin
Recruitment Started:,Global: n/a Ireland: 2017
--------------------------------------------------
Global Recruitment Target:,n/a
Ireland Recruitment Target:,40
--------------------------------------------------
More Detailed Information:,n/a
Participation Criteria Link:,n/a
Eligibility Criteria:,Error
