Name:,HARMONi-3
Number:,24-24
Full Title:,Clinical Study of Ivonescimab for First-line Treatment of Metastatic Squamous NSCLC Patients
--------------------------------------------------
Principal Investigator:,Prof Jarushka Naidoo
Type:,Industry Sponsored
Sponsor:,Summit Therapeutics
Recruitment Started:,Global: 11-Aug-2023 Ireland: 29-Oct-2024
--------------------------------------------------
Global Recruitment Target:,400
Ireland Recruitment Target:,12
--------------------------------------------------
More Detailed Information:,https://clinicaltrials.gov/study/NCT05899608
Participation Criteria Link:,https://clinicaltrials.gov/study/NCT05899608#participation-criteria
Eligibility Criteria:,"Inclusion Criteria:

* Age ≥ 18 years old at the time of enrollment
* Eastern Cooperative Oncology Group (ECOG) performance status score of 0 or 1
* Expected life expectancy ≥ 3 months
* Metastatic (Stage IV) NSCLC
* Histologically or cytologically confirmed squamous or non-squamous NSCLC
* Recorded measurement of the Tumor Proportion Score (TPS) for PD-L1 expression, irrespective of the PD-L1 expression, prior to randomization
* At least one measurable noncerebral lesion according to RECIST 1.1
* No prior systemic treatment for metastatic NSCLC

Exclusion Criteria:

* Histologic or cytopathologic evidence of the presence of small cell lung carcinoma
* Known actionable genomic alterations (EGFR, ALK, ROS1, and BRAF V600E) or genes for which first-line approved therapies are available.

  * For non-squamous histology patients, actionable driver mutation testing results are required before randomization.
* Has received any prior therapy for NSCLC in the metastatic setting
* Tumor invasion, encasement of organs (e.g. heart, trachea, esophagus, central bronchi), or major blood vessels (e.g aorta, central veins), if poses a significant increased risk of bleeding."
